icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A009,"Cholera, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A0100,"Typhoid fever, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A0101,Typhoid meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A0102,Typhoid fever with heart involvement,INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A0103,Typhoid pneumonia,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
A0104,Typhoid arthritis,MUS001,Infective arthritis,MUS001,Infective arthritis,INF003,Bacterial infections,MUS001,Infective arthritis, , , , , , , , 
A0105,Typhoid osteomyelitis,MUS002,Osteomyelitis,MUS002,Osteomyelitis,INF003,Bacterial infections,MUS002,Osteomyelitis, , , , , , , , 
A0109,Typhoid fever with other complications,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A011,Paratyphoid fever A,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A012,Paratyphoid fever B,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A013,Paratyphoid fever C,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A014,"Paratyphoid fever, unspecified",DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A020,Salmonella enteritis,DIG001,Intestinal infection,DIG001,Intestinal infection,DIG001,Intestinal infection,INF003,Bacterial infections, , , , , , , , 
A021,Salmonella sepsis,INF002,Septicemia,INF002,Septicemia,INF002,Septicemia,INF003,Bacterial infections, , , , , , , , 
A0220,"Localized salmonella infection, unspecified",INF003,Bacterial infections,INF003,Bacterial infections,INF003,Bacterial infections, , , , , , , , , , 
A0221,Salmonella meningitis,NVS001,Meningitis,NVS001,Meningitis,INF003,Bacterial infections,NVS001,Meningitis, , , , , , , , 
A0222,Salmonella pneumonia,RSP002,Pneumonia (except that caused by tuberculosis),RSP002,Pneumonia (except that caused by tuberculosis),INF003,Bacterial infections,RSP002,Pneumonia (except that caused by tuberculosis), , , , , , , , 
